what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345428048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345429269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345430708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345436894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345440030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345441730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345441905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345443112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345443772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345444471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345445068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345445797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345446466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345447158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345447866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345448476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345451937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345474728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345475444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345478838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345484205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345486404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345501787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345503396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345504390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345516646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345517288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345517981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345518994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345519827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345525132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345526209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345531645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345532553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345532699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345534758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345535561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345535706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345537583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345538250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345538454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345542999
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320345556225
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320345582189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345588430
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320345635856
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320345636841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345639907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345643685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345654846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345671310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345672327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345714890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345717743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345721111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345722961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345728090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345730374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345731782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345731972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345742302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345751242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345758338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320345760282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345762281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345766463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345769756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320345773429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345776230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345777131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1320345783188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345784159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1320345792963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320345795631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320345799039
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320345804825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345815717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345895496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345896848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345903802
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320345929911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345935124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345936216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345937207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345953014
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320345954752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345979217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345984135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320345987638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346004947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346005822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346094816
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320346103215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346119254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346120259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346123822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346124573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346126446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346153588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346188366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346210124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346406693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346432650
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320346433720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346478362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346488998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346494390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320346539626
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320346576148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320346597078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320346597760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320346599657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320346603471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320346603623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320346603822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320346604140
